domain, submitted, correct
cfsjdqwdhmwkiv,benign,dga
uocoqgiusyeciouaimcauykqswsymo,benign,dga
okdbnxoauhzrawyu,benign,dga
m8sdetc0u81lgdcpshoxsvy,benign,dga
qkdccn,benign,dga
g2g0kfwnw65lqri,benign,dga
xretmysxptli,benign,dga
cewesckwaqc,benign,dga
jknwld,benign,dga
kuekgowceqaomwkyeyys,benign,dga
cyneugril,benign,dga
eikmcosam,benign,dga
mamysymikazadoci,benign,dga
qquorah,benign,dga
vjmvkandfield,benign,dga
pfqhsrasw,benign,dga
rbhatfhoj,benign,dga
dqmjdb,benign,dga
devshrmltkd,benign,dga
3v78ihevo434ixg63pc,benign,dga
nfwkowelcamino,benign,dga
npowancorml,benign,dga
ef3030krwl5hsni,benign,dga
skimyciiskmgmuiaqgsq,benign,dga
skeyggikcecycsgcqwksigkswo,benign,dga
wdurwxy4m07p3vcpcto,benign,dga
bsctuylsftfn,benign,dga
oddjzrqfjvoz,benign,dga
uh5hwryfk6mry4o0c8k,benign,dga
7e41rnue7fxk6w0bdibmawz3,benign,dga
gnniqpseqqys,benign,dga
wendvittjckqpa,benign,dga
qgiwwoucaumegg,benign,dga
qffhyzqmjcrz,benign,dga
kdmoldsbhpcl,benign,dga
fogykuhovaxavaniholijiq,benign,dga
ynwambrkriny,benign,dga
rbnslkgtcat,benign,dga
uoiekeoysokiisscqiowwg,benign,dga
kepyponepadolecepikubyz,benign,dga
jyoqwbregx,benign,dga
galosibapedos,benign,dga
aaukomgwgesgyauqqyeqcsggygygskg,benign,dga
skcqqkuiiymgmouugeswmowogkeseg,benign,dga
ldmlxpkcvah,benign,dga
mazdfafutinlvruwmtmaew,benign,dga
elmedkmql,benign,dga
vozojhnposdqyakmedx,benign,dga
hfianybzys,benign,dga
qj1h14ejang6g4c67rwpmvy,benign,dga
dzmxpartbulkyf,benign,dga
mymycuyicusgqmqigyqqcgosyyi,benign,dga
owhymachuslazaroqok,benign,dga
jtvqestnessbiophysicalohax,benign,dga
hurizyxsctzgav,benign,dga
viwazytucatywudap,benign,dga
ftmrnadalvqm,benign,dga
lyrjgxvjaepen,benign,dga
myyuegue,benign,dga
mymuoieoweqguwyuoquc,benign,dga
1mo9uownkn5czcnlh4u1o8jxgs,benign,dga
eezcareisbad,benign,dga
godahowymymehipah,benign,dga
dxgzmen,benign,dga
swqxjilmtlnu,benign,dga
ipaemby,benign,dga
cndprxjjiuaw,benign,dga
nrgtball,benign,dga
pggdyff2cl7ob10z3718ro0yq,benign,dga
surfersbaseball,dga,benign
rairphhgaxvdxtrznphbrxoao,benign,dga
ppvvebrags,benign,dga
tupygypikoguqu,benign,dga
wdcxajpoteka,benign,dga
pifpjmyhkn,benign,dga
rmssvwnrcpjmrc,benign,dga
ojmpo2yncpq05bi61ls,benign,dga
ucegmpst,benign,dga
yrulqozphgonopo,benign,dga
uogasgakukammccsskiacioswgusu,benign,dga
xktkpmg,benign,dga
kuqgaawaqsqqmccsuykmuuwqgkakyeg,benign,dga
unhflcstaqbvojrgtogdvjftd,benign,dga
zfsbficlight,benign,dga
iqouomcmyqeckqsuwueomweeyaqweys,benign,dga
evadiidop,benign,dga
wuyltzd,benign,dga
w0crsripmrm21do6g0y,benign,dga
qguoqwoqougkugwmmymiiuaoq,benign,dga
gaqozahopecas,benign,dga
yujmlyaupiq,benign,dga
fcceda2d2a1808357272dbef09faf97d60,benign,dga
qlgttiphoi,benign,dga
gmagkeym,benign,dga
spinningcentergym,dga,benign
wqgdnotom,benign,dga
kkxdjexht,benign,dga
cinydumycyfago,benign,dga
tldaquerque,benign,dga
kslmhkehercyok,benign,dga
xubyfijuq,benign,dga
hhoeporsche,benign,dga
kl5lwxmx3v18at3,benign,dga
gmeaiwkaeccuyascosyokcokkwuoew,benign,dga
eufssdhecapvag,benign,dga
imlltfvknr,benign,dga
ypyfvwskpsjl,benign,dga
qr3fgpqdsbo4i2it7xo,benign,dga
xuhyxidyq,benign,dga
ymbsowelcamino,benign,dga
ypfpabvc,benign,dga
xyveuxjfhrdo,benign,dga
tgwmrbnoe,benign,dga
wgbwwtdlqhwr,benign,dga
pumugugene,benign,dga
aaekywueumsusyiaqiumea,benign,dga
cuwjmxliyjglejptljqvuihl,benign,dga
cyvnmonkeys,benign,dga
abw03xu6at1vud5nabg4wt1,benign,dga
puzajopikapuzihoj,benign,dga
kitnect,benign,dga
jkildrfa,benign,dga
uoiiskuewokq,benign,dga
rpipmaed,benign,dga
heekifxmnyc,benign,dga
vglaczv,benign,dga
zxseball,benign,dga
aaeqmogiqwacy,benign,dga
omomgqlexxcpxh,benign,dga
gymodhockey,benign,dga
rsnaxplccl,benign,dga
ckisrancisco,benign,dga
vnkhiolaq,benign,dga
kf56uns6q2q8w2af7la,benign,dga
mymewasm,benign,dga
kuuaacowgwqqsquesouewewqogcck,benign,dga
orgt5lw2kjqvs0ex3f7tad5,benign,dga
ejjkmouvokoad,benign,dga
hokmirmlrjpo,benign,dga
ndokstring,benign,dga
opw6sjg6ur5pc6c,benign,dga
ghoned3ngh3vwd1tgt3,benign,dga
bhnfikbvtj,benign,dga
evbnktl,benign,dga
kukogaoia,benign,dga
twfsswdup,benign,dga
dpnmareisbad,benign,dga
bgkkvvyxurvu,benign,dga
wdsqjjormqx,benign,dga
1ywssal1glrez1109g2i1kiz0l,benign,dga
iha23di85xgv74ify4i,benign,dga
ulvloosk,benign,dga
ieeroemazhexwphipxrtcmgbr,benign,dga
ocmkcqykokwyawgcwwwqgeuumw,benign,dga
ocgygeumgeoyesycmgsciieyewasgyc,benign,dga
hseivhcsalv,benign,dga
mycywguaaks,benign,dga
tlonptwrbog,benign,dga
gyiomachuslazaroqok,benign,dga
myeyuwaskkqqeyusiwuegiqwysiye,benign,dga
qgmsgmeeguccmsiewqo,benign,dga
kuwmaamcwucyciquecy,benign,dga
vofypyfofuv,benign,dga
qgnysagabardinedazyx,benign,dga
arxnejast,benign,dga
wclringlane,benign,dga
iqwuqeky,benign,dga
tqzdalkdsh,benign,dga
aaogmyyi,benign,dga
aiqhuowixyyl,benign,dga
qgcilane,benign,dga
1hedfs21cdqfcr1q3m26o1vgk0el,benign,dga
yuxgkandfield,benign,dga
hydroinformatics,dga,benign
piubtjyfvkdrv,benign,dga
uhaicivsctmpkahok,benign,dga
aagiuayykiueackciiuiec,benign,dga
oscgacivic,benign,dga
hgrfrjixwrkx,benign,dga
ibytzv,benign,dga
ndrrqxhayf,benign,dga
qqebican765,benign,dga
gozoamentalistfanchonut,benign,dga
amjqoki,benign,dga
swnranerraticallyqozaw,benign,dga
lplerfhzo,benign,dga
rdibkgmwiombjojtji,benign,dga
jjnxtv1wqx00l1f5d2ykynj7o8,benign,dga
wsecqecmaysggigakccie,benign,dga
gvi2gvc4mj7hex54sfw,benign,dga
xdrhfecukeqd,benign,dga
skiiiekuuyaoeiyeys,benign,dga
uosuueaycamy,benign,dga
kthipijgpfar,benign,dga
eisiwaksyukmqkmgmwwwo,benign,dga
wqvlepictom,benign,dga
hacopoz,benign,dga
o0uhsdsneja2stufgtm,benign,dga
cubeaonlwkj,benign,dga
umpknta,benign,dga
hyqmwolmcdxn,benign,dga
1mh3e3n16jrg09slhquijblphq,benign,dga
melfordf150,benign,dga
jlmdtaprius,benign,dga
1tl1lovqeyf5rwdht2412xycdt,benign,dga
1gb6mo41s01tridbbmtq11zby8k,benign,dga
doqotosifoziheryga,benign,dga
pqacrang,benign,dga
s1g1b15onm,benign,dga
vlhsengerjet,benign,dga
njtement,benign,dga
syghtglassesshop,dga,benign
rytapaqycehe,benign,dga
qamsacivic,benign,dga
dxwgyg,benign,dga
qgaoqymssugmgikciaew,benign,dga
zjosnocugfwt,benign,dga
ryhefogigycaqyvybuhuh,benign,dga
1vq6hbiwywo9dimd4ie10hignl,benign,dga
pmaqma1i3bsr11auta761c94v4c,benign,dga
u0yvc6ixmbibc85,benign,dga
galorubapetos,benign,dga
gmyimmicqqci,benign,dga
aaimuowmaqowiuyekqaco,benign,dga
dseafsfen,benign,dga
cxdn9217jotdy132avsn1vlxlax,benign,dga
jlelxyhpjxijxq,benign,dga
gjm8gtm4gh70adonu0y,benign,dga
evergreensquash,dga,benign
ol5xgta6epef1ncl3d3tw4c,benign,dga
uhjvlkfoixtcelo,benign,dga
91el07ij0nzt1jjlh6l5qjgtf,benign,dga
sammystruckrepair,dga,benign
lkaerooclqrq,benign,dga
u23lib5bcxw0yju,benign,dga
prmysangh,benign,dga
ociqkeasqocgoecksu,benign,dga
